order_id,seller_id,buyer_id,order_ts,category,item_price,shipping_fee,payment_method,buyer_country,order_status
O000031,S00061,B04404,2026-06-01 03:07:02,electronics,204.16,12.15,card,US,completed
O000032,S01149,B08558,2026-06-01 03:15:21,fashion_vintage,15.64,5.69,wallet,US,completed
O000033,S00331,B11426,2026-06-01 03:16:32,fashion_vintage,34.38,11.79,card,US,completed
O000034,S00176,B00866,2026-06-01 03:37:36,fashion_vintage,55.0,8.93,card,US,completed
O000035,S01857,B10467,2026-06-01 03:37:48,sneakers_streetwear,93.63,5.66,wallet,GB,completed
O000036,S01122,B02907,2026-06-01 03:40:19,watches_jewelry_luxury,4510.64,56.23,card,DE,completed
O000037,S00748,B11493,2026-06-01 03:47:53,electronics,428.45,10.84,card,US,completed
O000038,S01149,B10278,2026-06-01 03:50:19,fashion_vintage,29.54,10.16,card,US,completed
O000039,S00787,B06839,2026-06-01 03:55:00,sneakers_streetwear,103.76,11.43,card,US,completed
O000040,S01050,B03083,2026-06-01 04:04:50,fashion_vintage,21.52,10.09,card,CA,completed
O000041,S00644,B01963,2026-06-01 04:20:23,fashion_vintage,16.67,4.33,card,US,completed
O000042,S00267,B08695,2026-06-01 04:23:29,sneakers_streetwear,107.2,5.19,wallet,US,refunded
O000043,S01532,B06025,2026-06-01 04:43:07,fashion_vintage,31.54,11.44,card,GB,refunded
O000044,S00945,B13019,06/01/2026 04:48,sneakers_streetwear,185.79,13.54,wallet,US,completed
O000045,S01589,B13520,2026-06-01 04:50:29,fashion_vintage,63.02,4.87,card,US,completed
O000046,S01891,B08413,2026-06-01 04:53:18,sneakers_streetwear,264.52,7.28,card,US,completed
O000047,S01343,B05481,2026-06-01 04:57:54,sneakers_streetwear,388.5,13.2,wallet,US,completed
O000048,S01543,B01817,2026-06-01 05:07:37,sneakers_streetwear,215.41,12.3,card,US,completed
O000049,S01762,B03491,2026-06-01 05:14:26,cards_collectibles,164.13,8.3,card,FR,completed
O000050,S00867,B02644,2026-06-01 05:30:16,cards_collectibles,72.4,12.53,card,FR,completed
O000051,S01043,B06669,2026-06-01 05:32:32,fashion_vintage,41.47,4.7,card,US,completed
O000052,S01876,B12818,2026-06-01 05:37:57,fashion_vintage,17.25,7.93,wallet,US,completed
O000053,S00004,B04630,2026-06-01 05:49:57,cards_collectibles,21.93,9.01,card,US,completed
O000054,S00351,B07521,2026-06-01 05:53:20,sneakers_streetwear,135.63,6.74,card,US,completed
O000055,S01258,B13486,2026-06-01 06:01:17,sneakers_streetwear,391.11,8.2,bank,US,completed
O000056,S01004,B10919,2026-06-01 06:04:23,fashion_vintage,27.9,7.13,card,US,completed
O000057,S00625,B07680,2026-06-01 06:15:38,fashion_vintage,18.54,8.68,card,CA,completed
O000058,S01595,B07411,2026-06-01 06:15:55,fashion_vintage,28.15,9.43,wallet,US,completed
O000059,S01769,B00717,2026-06-01 06:19:13,sneakers_streetwear,94.07,11.92,card,US,completed
O000060,S00476,B08056,2026-06-01 06:25:28,electronics,219.44,8.69,card,US,completed
O000061,S01197,B07879,2026-06-01 06:29:05,fashion_vintage,37.88,6.86,card,US,completed
O000062,S01017,B09203,2026-06-01 06:32:26,fashion_vintage,20.21,8.01,card,US,completed
O000063,S01566,B13593,2026-06-01 06:38:54,fashion_vintage,20.56,8.19,card,GB,completed
O000064,S01402,B05984,2026-06-01 06:44:29,fashion_vintage,25.0,4.92,card,US,completed
O000065,S00098,B03118,2026-06-01 06:51:22,fashion_vintage,28.32,10.31,card,US,completed
O000066,S01420,B05952,2026-06-01 07:02:48,fashion_vintage,17.9,10.15,wallet,US,completed
O000067,S01750,B14422,2026-06-01 07:08:04,fashion_vintage,15.24,5.12,card,US,completed
O000068,S00587,B05433,2026-06-01 07:10:29,sneakers_streetwear,118.51,13.05,card,US,completed
O000069,S01203,B07743,2026-06-01 07:10:48,fashion_vintage,16.55,5.56,card,AU,completed
O000070,S01494,B09959,2026-06-01 07:11:50,fashion_vintage,32.42,12.28,card,US,completed
O000071,S01374,B10548,2026-06-01 07:12:20,fashion_vintage,67.67,8.75,card,US,completed
O000072,S01771,B13329,2026-06-01 07:16:39,cards_collectibles,31.85,8.16,card,US,completed
O000073,S01012,B04738,2026-06-01 07:17:28,sneakers_streetwear,306.12,13.14,card,US,completed
O000074,S00424,B03081,2026-06-01 07:18:21,fashion_vintage,23.25,12.06,card,US,completed
O000075,S00994,B05672,2026-06-01 07:20:22,cards_collectibles,76.21,7.6,card,US,completed
O000076,S01031,B02907,2026-06-01 07:21:45,sneakers_streetwear,218.96,6.34,card,US,completed
O000077,S00443,B00474,2026-06-01 07:27:32,fashion_vintage,23.22,9.68,card,US,completed
O000078,S01793,B14472,2026-06-01 07:31:18,watches_jewelry_luxury,5167.27,58.82,card,US,completed
O000079,S00701,B05692,2026-06-01 07:35:52,cards_collectibles,74.75,11.43,bank,US,completed
O000080,S00933,B11272,2026-06-01 07:37:38,electronics,162.36,12.62,card,US,completed
O000081,S00083,B03083,2026-06-01 07:38:57,fashion_vintage,36.07,11.24,card,US,completed
O000082,S01189,B10291,2026-06-01 07:40:14,cards_collectibles,201.62,6.41,wallet,US,completed
O000083,S00322,B13538,2026-06-01 07:43:38,fashion_vintage,33.5,11.55,card,US,completed
O000084,S00254,B14356,2026-06-01 07:43:53,fashion_vintage,44.28,11.08,card,US,completed
O000085,S01073,B01563,2026-06-01 07:45:08,fashion_vintage,16.19,7.49,card,US,completed
O000086,S00209,B00530,2026-06-01 07:52:02,electronics,362.55,7.82,card,US,completed
O000087,S00081,B09109,2026-06-01 07:53:40,sneakers_streetwear,233.95,10.64,card,US,completed
O000088,S01465,B12606,2026-06-01 07:55:11,cards_collectibles,,10.84,card,US,completed
O000089,S01759,B06383,2026-06-01 08:02:38,electronics,1330.95,21.65,wallet,US,completed
O000090,S00748,B06833,2026-06-01 08:07:23,electronics,315.31,7.16,card,US,completed
O000091,S00266,B01986,2026-06-01 08:12:20,sneakers_streetwear,99.68,8.34,card,US,completed
O000092,S00556,B05753,2026-06-01 08:13:31,sneakers_streetwear,261.44,12.32,bank,US,completed
O000093,S01569,B13316,2026-06-01 08:15:59,fashion_vintage,26.72,6.98,card,CA,completed
O000094,S00757,B14060,2026-06-01 08:16:32,watches_jewelry_luxury,3465.45,40.04,card,US,completed
O000095,S01941,B04243,2026-06-01 08:26:19,sneakers_streetwear,205.35,12.09,card,US,completed
O000096,S01974,B08695,2026-06-01 08:27:25,watches_jewelry_luxury,1577.04,23.61,card,US,completed
O000097,S01820,B06599,2026-06-01 08:34:39,fashion_vintage,18.92,5.92,wallet,US,completed
O000098,S01504,B11326,2026-06-01 08:39:19,fashion_vintage,118.11,7.09,card,US,completed
O000099,S00192,B12863,2026-06-01 08:44:48,electronics,365.98,15.01,card,CA,completed
O000100,S01348,B09818,2026-06-01 08:45:00,fashion_vintage,28.45,6.35,card,US,completed
O000101,S00958,B12655,2026-06-01 08:45:40,electronics,370.91,12.01,card,US,completed
O000102,S01953,B13266,2026-06-01 08:49:58,electronics,724.94,17.73,card,US,completed
O000103,S00644,B10100,2026-06-01 08:50:54,fashion_vintage,17.74,6.02,card,US,completed
O000104,S00938,B13177,2026-06-01 08:51:25,sneakers_streetwear,217.72,13.49,card,US,completed
O000105,S01149,B06174,2026-06-01 08:51:47,fashion_vintage,34.72,5.12,card,US,completed
O000106,S01596,B07079,2026-06-01 08:55:21,sneakers_streetwear,163.68,13.07,card,US,completed
O000107,S00218,B03200,2026-06-01 08:55:32,electronics,258.06,13.6,card,US,completed
O000108,S01004,B04151,2026-06-01 08:57:41,fashion_vintage,24.36,7.01,card,US,completed
O000109,S01343,B04514,2026-06-01 08:58:08,sneakers_streetwear,203.1,13.06,wallet,US,completed
O000110,S01576,B08879,2026-06-01 09:00:35,fashion_vintage,18.49,5.0,wallet,US,completed
O000111,S00825,B13508,2026-06-01 09:01:12,fashion_vintage,20.04,9.83,card,US,completed
O000112,S01449,B00762,2026-06-01 09:03:48,sneakers_streetwear,251.81,7.14,card,US,completed
O000113,S00653,B06234,2026-06-01 09:05:28,fashion_vintage,35.22,9.12,card,US,refunded
O000114,S01956,B09337,2026-06-01 09:05:47,sneakers_streetwear,99.38,10.77,card,US,completed
O000115,S01931,B13154,2026-06-01 09:07:05,fashion_vintage,24.62,7.64,wallet,US,completed
O000115,S01931,B13154,2026-06-01 09:07:05,fashion_vintage,24.62,7.64,wallet,US,completed
O000116,S01931,B02112,2026-06-01 09:07:25,fashion_vintage,44.75,7.16,card,US,completed
O000117,S00697,B01206,2026-06-01 09:08:24,fashion_vintage,24.45,6.95,card,GB,completed
O000118,S00089,B14533,2026-06-01 09:08:36,sneakers_streetwear,86.31,11.45,card,US,completed
O000119,S01998,B08606,2026-06-01 09:09:55,electronics,244.71,10.04,wallet,US,completed
O000120,S00862,B10944,2026-06-01 09:10:53,sneakers_streetwear,161.69,5.92,card,US,completed
O000121,S01358,B07469,2026-06-01 09:12:32,fashion_vintage,26.7,7.41,wallet,US,completed
O000122,S00364,B13057,2026-06-01 09:14:37,sneakers_streetwear,398.38,11.03,card,US,completed
O000123,S01273,B07743,2026-06-01 09:14:50,cards_collectibles,79.69,6.79,card,US,completed
O000124,S00051,B00518,2026-06-01 09:16:07,fashion_vintage,46.19,12.02,card,US,completed
O000125,S00063,B06420,2026-06-01 09:16:49,fashion_vintage,18.8,5.01,card,US,completed
O000126,S01180,B06322,2026-06-01 09:18:12,fashion_vintage,18.38,7.53,card,GB,completed
O000127,S00322,B05704,2026-06-01 09:20:36,fashion_vintage,22.98,11.86,wallet,DE,completed
O000128,S00976,B10040,2026-06-01 09:22:07,fashion_vintage,21.86,6.56,card,US,completed
O000128,S00976,B10040,2026-06-01 09:22:07,fashion_vintage,21.86,6.56,card,US,completed
O000129,S00556,B01465,2026-06-01 09:22:17,sneakers_streetwear,166.2,11.09,wallet,US,completed
O000130,S01401,B08053,2026-06-01 09:26:45,sneakers_streetwear,104.95,12.75,card,CA,completed
O000131,S01424,B13526,2026-06-01 09:28:32,fashion_vintage,31.01,5.74,card,US,completed
O000132,S00556,B01687,2026-06-01 09:30:12,sneakers_streetwear,190.41,12.84,card,US,completed
O000133,S00011,B12706,2026-06-01 09:30:19,electronics,129.94,8.58,card,FR,completed
O000134,S00639,B13798,2026-06-01 09:30:45,fashion_vintage,22.49,8.41,card,US,completed
O000135,S00853,B12080,2026-06-01 09:32:05,fashion_vintage,24.87,11.07,wallet,US,completed
O000136,S01561,B13920,2026-06-01 09:36:20,watches_jewelry_luxury,1538.83,27.24,card,US,completed
O000137,S00343,B14310,2026-06-01 09:37:50,fashion_vintage,46.44,6.2,card,US,completed
O000138,S00783,B06993,2026-06-01 09:37:57,sneakers_streetwear,243.91,11.82,wallet,US,completed
O000139,S00123,B13109,2026-06-01 09:40:20,fashion_vintage,27.8,11.32,card,US,completed
O000140,S00466,B01728,2026-06-01 09:41:34,electronics,759.92,15.77,wallet,US,completed
O000141,S00192,B07196,2026-06-01 09:44:42,electronics,444.31,10.75,card,US,completed
O000142,S01149,B00694,2026-06-01 09:46:51,fashion_vintage,30.9,6.82,wallet,US,completed
O000143,S00764,B07853,2026-06-01 09:50:02,watches_jewelry_luxury,949.32,16.63,bank,US,completed
O000144,S00776,B14384,2026-06-01 09:50:38,watches_jewelry_luxury,2486.65,35.16,card,US,completed
O000145,S00426,B13121,2026-06-01 09:53:07,fashion_vintage,30.72,7.47,card,US,completed
O000146,S00748,B04930,2026-06-01 09:55:19,electronics,408.21,13.39,bank,US,completed
O000147,S00234,B05155,2026-06-01 09:55:59,fashion_vintage,16.06,5.29,card,US,completed
O000148,S01795,B05767,2026-06-01 09:56:16,watches_jewelry_luxury,540.07,10.78,wallet,US,completed
O000149,S01230,B14443,2026-06-01 09:57:15,fashion_vintage,63.8,6.55,wallet,US,completed
O000150,S00063,B09771,2026-06-01 09:57:36,fashion_vintage,38.01,12.23,wallet,US,completed
O000151,S01429,B07207,2026-06-01 09:58:07,fashion_vintage,30.68,5.85,card,US,completed
O000152,S00632,B02827,2026-06-01 09:58:26,cards_collectibles,22.15,8.96,wallet,US,completed
O000153,S01986,B02887,2026-06-01 09:59:00,sneakers_streetwear,238.48,10.92,card,US,completed
O000154,S00412,B03592,2026-06-01 10:02:18,fashion_vintage,23.44,9.37,card,DE,completed
O000155,S00665,B00847,2026-06-01 10:03:15,sneakers_streetwear,305.35,7.73,wallet,GB,completed
O000156,S00376,B09759,2026-06-01 10:07:09,fashion_vintage,22.27,6.54,card,DE,completed
O000157,S00454,B08695,2026-06-01 10:07:17,sneakers_streetwear,152.37,9.11,card,US,completed
O000158,S01871,B10500,2026-06-01 10:10:43,cards_collectibles,81.26,7.63,wallet,US,completed
O000159,S00570,B12760,2026-06-01 10:12:18,fashion_vintage,29.77,5.12,wallet,US,completed
O000160,S00771,B10387,2026-06-01 10:12:41,electronics,320.85,7.84,bank,US,completed
O000161,S01308,B08406,2026-06-01 10:13:33,electronics,549.57,9.71,card,US,completed
O000162,S01096,B10094,2026-06-01 10:16:12,fashion_vintage,32.1,12.17,wallet,CA,completed
O000163,S00673,B07732,2026-06-01 10:16:16,sneakers_streetwear,123.25,8.01,wallet,US,completed
O000164,S00556,B06124,2026-06-01 10:17:00,sneakers_streetwear,265.51,13.44,wallet,US,completed
O000165,S01024,B00777,2026-06-01 10:18:05,sneakers_streetwear,265.33,11.27,card,US,completed
O000166,S01825,B01835,2026-06-01 10:19:17,sneakers_streetwear,157.4,10.03,bank,US,completed
O000167,S01710,B14216,2026-06-01 10:19:54,fashion_vintage,29.83,9.64,card,FR,completed
O000168,S00208,B00897,2026-06-01 10:23:39,fashion_vintage,26.92,6.04,card,US,completed
O000169,S01285,B13601,2026-06-01 10:28:16,sneakers_streetwear,81.65,8.59,card,US,completed
O000170,S00556,B14045,2026-06-01 10:28:16,sneakers_streetwear,322.17,9.34,card,US,completed
O000171,S01673,B07051,2026-06-01 10:29:58,watches_jewelry_luxury,1098.58,15.34,wallet,US,completed
O000172,S00457,B09464,2026-06-01 10:30:05,electronics,138.57,13.31,card,US,completed
O000173,S00163,B14282,2026-06-01 10:31:19,electronics,419.45,14.43,card,FR,completed
O000174,S01827,B13244,2026-06-01 10:33:22,fashion_vintage,21.52,11.63,wallet,US,completed
O000175,S00783,B01634,2026-06-01 10:33:25,sneakers_streetwear,200.68,9.76,card,US,completed
O000176,S01497,B13880,2026-06-01 10:33:37,cards_collectibles,44.23,6.01,card,US,completed
O000177,S00851,B00755,2026-06-01 10:34:56,sneakers_streetwear,130.58,6.3,wallet,US,completed
O000178,S00026,B11564,2026-06-01 10:34:58,sneakers_streetwear,88.28,10.76,wallet,US,completed
O000179,S01203,B01870,2026-06-01 10:37:39,fashion_vintage,23.02,8.24,card,US,completed
O000180,S00540,B06109,2026-06-01 10:37:58,electronics,290.89,7.06,card,US,completed
O000181,S01732,B13805,2026-06-01 10:41:28,fashion_vintage,36.25,4.51,card,US,completed
O000182,S01892,B09098,06/01/2026 10:43,electronics,330.19,8.7,card,US,completed
O000183,S00218,B07589,2026-06-01 10:44:49,electronics,195.68,11.67,card,US,completed
O000184,S00315,B01856,2026-06-01 10:46:22,fashion_vintage,57.63,8.87,card,FR,completed
O000185,S00031,B08172,2026-06-01 10:46:55,sneakers_streetwear,328.46,10.62,card,US,completed
O000186,S01684,B04606,2026-06-01 10:50:04,sneakers_streetwear,318.29,12.83,card,US,completed
O000187,S00237,B09389,2026-06-01 10:50:24,fashion_vintage,16.28,9.49,card,DE,completed
O000188,S01876,B06834,2026-06-01 10:50:58,fashion_vintage,35.63,6.08,wallet,CA,refunded
O000189,S00973,B06891,2026-06-01 10:51:27,fashion_vintage,85.02,12.02,bank,US,completed
O000190,S01721,B10418,2026-06-01 10:53:32,sneakers_streetwear,143.91,6.17,card,US,refunded
O000191,S00696,B10576,2026-06-01 10:58:19,cards_collectibles,585.29,11.02,card,US,completed
O000192,S00024,B09900,2026-06-01 10:58:21,fashion_vintage,22.93,6.86,wallet,US,completed
O000193,S00771,B13822,2026-06-01 11:00:03,electronics,375.8,13.9,card,AU,completed
O000194,S00889,B11854,2026-06-01 11:01:00,electronics,,15.62,wallet,US,completed
O000195,S01139,B00986,2026-06-01 11:03:36,fashion_vintage,17.26,9.04,card,US,completed
O000196,S00978,B03814,2026-06-01 11:04:00,fashion_vintage,78.49,7.0,card,US,completed
O000197,S01585,B11312,2026-06-01 11:05:25,cards_collectibles,25.75,11.37,card,US,completed
O000197,S01585,B11312,2026-06-01 11:05:25,cards_collectibles,25.75,11.37,card,US,completed
O000198,S00376,B03888,2026-06-01 11:06:12,fashion_vintage,21.52,4.22,card,DE,completed
O000199,S00723,B10362,2026-06-01 11:07:45,electronics,132.31,5.86,wallet,US,completed
O000200,S00556,B14440,2026-06-01 11:07:59,sneakers_streetwear,290.08,12.63,card,US,completed
O000201,S01906,B06669,2026-06-01 11:08:44,fashion_vintage,19.2,10.9,wallet,US,completed
O000202,S00847,B10242,2026-06-01 11:08:47,sneakers_streetwear,83.79,7.78,card,GB,completed
O000203,S01986,B03632,2026-06-01 11:10:50,sneakers_streetwear,213.83,7.0,wallet,US,completed
O000204,S01888,B04957,2026-06-01 11:12:45,fashion_vintage,43.62,8.55,card,US,completed
O000205,S00133,B02731,2026-06-01 11:16:04,cards_collectibles,30.45,11.89,card,US,completed
O000206,S01488,B09953,2026-06-01 11:19:14,fashion_vintage,31.25,7.3,card,AU,completed
O000207,S01031,B01056,2026-06-01 11:20:59,sneakers_streetwear,150.43,6.16,wallet,US,completed
O000208,S00036,B09024,2026-06-01 11:22:31,electronics,145.0,12.61,bank,DE,completed
O000209,S01862,B06819,2026-06-01 11:23:53,sneakers_streetwear,105.71,11.85,card,US,completed
O000210,S01847,B05674,2026-06-01 11:25:51,fashion_vintage,30.96,12.2,card,US,refunded
O000211,S01265,B03279,2026-06-01 11:27:11,fashion_vintage,41.41,10.49,card,CA,cancelled
O000212,S01036,B14346,2026-06-01 11:29:30,watches_jewelry_luxury,829.61,18.16,card,US,completed
O000213,S01528,B11102,2026-06-01 11:30:04,fashion_vintage,33.99,6.25,wallet,US,completed
O000214,S01089,B00270,2026-06-01 11:30:05,cards_collectibles,126.8,9.82,card,US,completed
O000215,S00175,B01509,2026-06-01 11:31:09,fashion_vintage,29.32,8.63,card,US,completed
O000216,S01305,B13253,2026-06-01 11:32:35,fashion_vintage,17.65,4.41,card,US,completed
O000217,S00830,B07847,2026-06-01 11:32:48,fashion_vintage,22.25,9.32,card,US,completed
O000218,S00869,B07653,2026-06-01 11:33:39,cards_collectibles,338.73,11.0,card,US,completed
O000219,S00658,B04221,2026-06-01 11:34:51,fashion_vintage,18.44,7.25,card,US,completed
O000220,S00583,B00278,2026-06-01 11:35:31,fashion_vintage,17.96,9.19,card,US,completed
O000221,S00478,B10242,2026-06-01 11:35:55,fashion_vintage,31.97,9.59,card,US,completed
O000222,S01152,B07664,2026-06-01 11:36:46,fashion_vintage,16.02,9.75,card,CA,completed
O000223,S00835,B02950,2026-06-01 11:38:10,sneakers_streetwear,196.95,6.97,wallet,US,completed
O000224,S01886,B10905,2026-06-01 11:43:23,fashion_vintage,17.71,7.24,card,US,completed
O000225,S00817,B04282,2026-06-01 11:44:28,sneakers_streetwear,91.91,7.1,wallet,US,completed
O000226,S00670,B09718,2026-06-01 11:46:18,sneakers_streetwear,89.84,11.94,card,US,completed
O000227,S01109,B06669,2026-06-01 11:47:20,watches_jewelry_luxury,855.88,19.01,card,US,completed
O000228,S01976,B01151,2026-06-01 11:48:26,sneakers_streetwear,152.34,9.89,card,US,completed
O000229,S00063,B12603,2026-06-01 11:49:47,fashion_vintage,25.79,5.22,card,US,completed
O000230,S01483,B08952,2026-06-01 11:51:14,fashion_vintage,17.53,6.97,card,US,completed
O000231,S01906,B11272,2026-06-01 11:51:54,fashion_vintage,17.17,10.33,card,US,completed
O000232,S00548,B07353,2026-06-01 11:51:54,cards_collectibles,103.99,8.88,card,US,completed
O000233,S00856,B02597,2026-06-01 11:52:27,sneakers_streetwear,-194.08,11.74,bank,US,completed
O000234,S00697,B05341,2026-06-01 11:52:57,fashion_vintage,30.47,10.14,card,GB,completed
O000235,S01079,B00006,2026-06-01 11:53:02,fashion_vintage,30.73,9.28,wallet,US,completed
O000236,S01334,B00930,2026-06-01 11:54:54,cards_collectibles,58.07,7.25,card,US,completed
O000237,S01352,B02453,2026-06-01 11:55:43,electronics,213.16,6.9,wallet,US,completed
O000238,S00237,B11415,2026-06-01 11:56:54,fashion_vintage,22.24,9.32,wallet,DE,completed
O000239,S00723,B09900,2026-06-01 11:58:58,electronics,101.45,12.42,card,US,completed
O000240,S00706,B04212,2026-06-01 11:59:34,fashion_vintage,108.38,9.5,card,US,completed
O000241,S01198,B11704,2026-06-01 12:00:17,sneakers_streetwear,105.02,9.99,card,AU,completed
O000242,S00111,B06788,2026-06-01 12:01:30,sneakers_streetwear,256.36,8.62,card,US,completed
O000243,S00922,B01831,2026-06-01 12:01:41,cards_collectibles,40.62,11.52,wallet,US,completed
O000244,S00323,B12637,2026-06-01 12:03:11,fashion_vintage,33.21,7.34,card,GB,completed
O000245,S00227,B06669,2026-06-01 12:06:31,fashion_vintage,34.72,5.91,card,DE,completed
O000246,S00081,B13146,2026-06-01 12:08:27,sneakers_streetwear,168.36,9.94,card,US,completed
O000247,S00495,B01734,2026-06-01 12:09:43,fashion_vintage,25.84,6.62,card,US,cancelled
O000248,S01538,B03083,2026-06-01 12:11:45,fashion_vintage,42.24,5.58,card,US,completed
O000249,S00580,B11685,2026-06-01 12:11:54,cards_collectibles,72.15,7.03,card,US,completed
O000250,S00828,B05385,2026-06-01 12:12:04,fashion_vintage,25.88,6.76,card,US,completed
O000251,S00908,B07521,2026-06-01 12:12:17,electronics,299.71,8.42,card,US,completed
O000252,S00380,B04982,2026-06-01 12:12:35,electronics,105.09,10.1,wallet,US,completed
O000253,S01163,B09352,2026-06-01 12:13:27,fashion_vintage,27.83,5.98,card,US,completed
O000254,S01132,B01976,2026-06-01 12:14:06,sneakers_streetwear,88.8,12.41,card,US,completed
O000255,S01452,B10165,2026-06-01 12:14:51,fashion_vintage,20.8,9.45,wallet,US,completed
O000256,S00556,B02701,2026-06-01 12:15:50,sneakers_streetwear,232.97,12.25,card,US,completed
O000257,S01288,B08866,2026-06-01 12:16:38,fashion_vintage,69.27,10.1,card,US,completed
O000258,S00545,B07613,2026-06-01 12:17:28,fashion_vintage,38.44,5.53,wallet,US,completed
O000259,S00862,B07521,2026-06-01 12:20:44,sneakers_streetwear,222.82,6.65,card,US,completed
O000260,S00161,B00862,2026-06-01 12:20:46,electronics,221.02,9.04,card,CA,completed
O000261,S01299,B12760,2026-06-01 12:21:28,sneakers_streetwear,120.01,11.86,card,CA,completed
O000262,S01086,B13632,2026-06-01 12:21:57,fashion_vintage,23.25,11.96,wallet,US,completed
O000263,S00485,B10108,2026-06-01 12:23:46,fashion_vintage,62.18,5.42,wallet,US,completed
O000264,S01937,B12688,2026-06-01 12:24:39,fashion_vintage,36.1,9.07,wallet,US,completed
O000265,S00664,B06860,2026-06-01 12:27:39,fashion_vintage,29.09,7.82,card,US,completed
O000266,S00221,B14308,2026-06-01 12:27:43,fashion_vintage,24.78,5.57,card,US,completed
O000267,S00467,B03015,2026-06-01 12:31:51,electronics,199.55,6.21,card,US,completed
O000268,S01994,B02827,2026-06-01 12:34:47,cards_collectibles,50.95,6.79,card,US,completed
O000269,S00383,B01015,2026-06-01 12:35:41,electronics,418.58,9.16,card,US,completed
O000270,S00848,B05416,2026-06-01 12:38:21,watches_jewelry_luxury,4109.85,45.64,wallet,US,completed
O000271,S01138,B06669,2026-06-01 12:38:41,fashion_vintage,19.79,7.2,wallet,US,completed
O000272,S00746,B06326,2026-06-01 12:38:58,fashion_vintage,21.63,7.28,card,US,completed
O000273,S00122,B14436,2026-06-01 12:39:14,electronics,245.86,10.19,card,US,refunded
O000274,S00438,B06124,2026-06-01 12:39:39,electronics,270.88,9.44,card,US,completed
O000275,S00169,B05022,2026-06-01 12:41:19,fashion_vintage,23.35,10.71,card,US,completed
O000276,S01716,B06124,2026-06-01 12:42:47,fashion_vintage,18.53,5.58,wallet,US,completed
O000277,S01515,B07682,2026-06-01 12:47:11,fashion_vintage,44.25,11.22,card,US,refunded
O000278,S00635,B12789,2026-06-01 12:49:02,fashion_vintage,44.8,12.32,card,US,completed
O000279,S00855,B01803,2026-06-01 12:53:05,sneakers_streetwear,392.22,8.12,card,US,completed
O000280,S00122,B00410,2026-06-01 12:53:09,electronics,994.22,18.15,bank,US,completed
O000281,S01621,B06124,2026-06-01 12:53:43,fashion_vintage,44.0,8.78,card,US,completed
