payout_id,seller_id,payout_ts,amount,payout_type,bank_account_id,payout_status
P000049,S00117,2026-06-05 21:21:24,7021.78,on_demand,BA00054,paid
P000050,S01795,2026-06-05 21:27:46,6021.82,on_demand,BA00094,paid
P000051,S00014,2026-06-06 00:47:27,6022.93,on_demand,BA00065,paid
P000052,S01276,2026-06-06 03:56:35,6037.61,on_demand,BA00069,paid
P000053,S01225,2026-06-06 05:47:25,96.4,on_demand,BA00861,paid
P000054,S00653,2026-06-06 07:16:49,27.05,on_demand,BA00275,paid
P000055,S01853,2026-06-06 07:42:25,29.09,on_demand,BA01389,paid
P000056,S00155,2026-06-06 08:24:16,148.3,on_demand,BA01456,paid
P000057,S00485,2026-06-06 08:33:09,237.16,on_demand,BA01970,paid
P000058,S00070,2026-06-06 08:41:16,9078.52,on_demand,BA00047,paid
P000059,S01765,2026-06-06 09:35:26,36.52,on_demand,BA01208,paid
P000060,S00227,2026-06-06 10:23:56,30.55,on_demand,BA00753,paid
P000061,S01889,2026-06-06 10:28:17,199.41,on_demand,BA00654,paid
P000062,S01770,2026-06-06 10:29:39,2414.74,on_demand,BA00106,paid
P000063,S01478,2026-06-06 11:15:58,70.32,on_demand,BA00602,paid
P000064,S00671,2026-06-06 12:22:37,1133.48,on_demand,BA01514,paid
P000065,S01479,2026-06-06 12:28:14,45.11,on_demand,BA02113,failed
P000066,S00559,2026-06-06 13:51:18,211.42,on_demand,BA02005,paid
P000067,S01043,2026-06-06 13:54:10,7188.5,on_demand,BA00084,paid
P000068,S00349,2026-06-06 14:10:48,381.88,on_demand,BA00555,paid
P000069,S00347,2026-06-06 14:21:11,32.68,on_demand,BA00629,paid
P000070,S00264,2026-06-06 15:54:12,476.37,on_demand,BA01028,paid
P000071,S00938,2026-06-06 16:55:22,559.2,on_demand,BA01138,paid
P000072,S01898,2026-06-06 17:04:56,951.96,on_demand,BA02139,paid
P000073,S01060,2026-06-06 17:42:19,187.03,on_demand,BA02117,paid
P000074,S01998,2026-06-06 19:28:38,8763.7,on_demand,BA00027,paid
P000075,S01189,2026-06-06 19:34:16,690.7,on_demand,BA01379,paid
P000076,S01885,2026-06-06 20:14:13,189.07,on_demand,BA00294,paid
P000077,S00613,2026-06-06 20:54:07,87.34,on_demand,BA01799,paid
P000078,S01793,2026-06-06 20:54:24,8381.74,on_demand,BA00122,paid
P000079,S01571,2026-06-06 21:06:40,9787.23,on_demand,BA00021,paid
P000080,S00717,2026-06-06 21:20:16,482.88,on_demand,BA00528,paid
P000081,S00495,2026-06-06 23:47:39,82.57,on_demand,BA00554,paid
P000082,S00273,2026-06-07 01:36:13,4750.94,on_demand,BA00076,paid
P000083,S00357,2026-06-07 09:58:59,94.54,on_demand,BA02266,paid
P000084,S00384,2026-06-07 11:01:31,213.91,on_demand,BA00499,paid
P000085,S00153,2026-06-07 11:28:12,8759.04,on_demand,BA00038,paid
P000086,S00961,2026-06-07 12:37:43,9152.64,on_demand,BA00124,paid
P000087,S00379,2026-06-07 13:06:52,5419.14,on_demand,BA00090,paid
P000088,S00226,2026-06-07 13:31:29,21.54,on_demand,BA01977,paid
P000089,S01305,2026-06-07 14:06:52,31.44,on_demand,BA02032,paid
P000090,S01023,2026-06-07 14:42:44,4958.59,on_demand,BA00089,paid
P000091,S00451,2026-06-07 15:08:03,30.43,on_demand,BA00815,paid
P000092,S01774,2026-06-07 16:30:42,232.82,on_demand,BA01881,paid
P000093,S01567,2026-06-07 17:01:59,111.3,on_demand,BA01210,paid
P000094,S01516,2026-06-07 17:02:31,319.26,on_demand,BA01247,paid
P000095,S00507,2026-06-07 17:17:13,574.38,on_demand,BA01481,paid
P000096,S01095,2026-06-07 17:47:51,282.93,on_demand,BA01524,paid
P000097,S00436,2026-06-07 18:38:10,103.64,on_demand,BA01193,paid
P000098,S00099,2026-06-07 19:14:06,4666.0,on_demand,BA00062,paid
P000099,S00102,2026-06-07 19:16:51,74.49,on_demand,BA02337,paid
P000100,S00766,2026-06-07 20:01:45,7563.79,on_demand,BA00100,paid
P000101,S00599,2026-06-07 20:13:52,33.7,on_demand,BA02166,paid
P000102,S00289,2026-06-07 20:41:17,477.71,on_demand,BA02262,paid
P000103,S00036,2026-06-07 20:51:49,849.06,on_demand,BA02006,paid
P000104,S00062,2026-06-07 21:17:40,263.84,on_demand,BA01467,paid
P000105,S00276,2026-06-07 22:13:47,183.66,on_demand,BA00700,paid
P000106,S00665,2026-06-08 09:00:00,1084.63,scheduled,BA01120,paid
P000107,S00659,2026-06-08 09:00:00,170.7,scheduled,BA02208,paid
P000108,S00054,2026-06-08 09:00:00,4388.3,scheduled,BA00239,paid
P000109,S01073,2026-06-08 09:00:00,173.66,scheduled,BA02359,paid
P000110,S00994,06/08/2026 09:00,1203.23,scheduled,BA01121,paid
P000111,S00928,2026-06-08 09:00:00,29.16,scheduled,BA01496,paid
P000112,S00089,2026-06-08 09:00:00,333.04,scheduled,BA00575,paid
P000113,S00167,2026-06-08 09:00:00,43.92,scheduled,BA00578,paid
P000114,S00474,2026-06-08 09:00:00,255.07,scheduled,BA01497,paid
P000115,S00268,2026-06-08 09:00:00,747.38,scheduled,BA00577,paid
P000116,S01440,2026-06-08 09:00:00,100.02,scheduled,BA01972,paid
P000117,S01528,2026-06-08 09:00:00,75.39,scheduled,BA00237,paid
P000118,S00011,2026-06-08 09:00:00,114.35,scheduled,BA01119,paid
P000119,S00971,2026-06-08 09:00:00,2033.53,scheduled,BA01165,paid
P000120,S01960,2026-06-08 09:00:00,140.24,scheduled,BA02205,paid
P000121,S00869,2026-06-08 09:00:00,386.03,scheduled,BA00579,paid
P000122,S01481,2026-06-08 09:00:00,56.59,scheduled,BA01118,paid
P000123,S00427,2026-06-08 09:00:00,105.94,scheduled,BA01973,paid
P000124,S01431,2026-06-08 09:00:00,600.05,scheduled,BA01122,paid
P000125,S00767,2026-06-08 09:00:00,328.75,scheduled,BA02231,paid
P000126,S01175,2026-06-08 09:00:00,64.14,scheduled,BA00574,paid
P000127,S01360,06/08/2026 09:00,172.93,scheduled,BA01128,paid
P000128,S00476,2026-06-08 09:00:00,193.11,scheduled,BA01337,paid
P000129,S01468,2026-06-08 09:00:00,165.74,scheduled,BA00570,paid
P000130,S01398,2026-06-08 09:00:00,1083.3,scheduled,BA01492,paid
P000131,S01213,2026-06-08 09:00:00,159.97,scheduled,BA00377,paid
P000132,S01281,2026-06-08 09:00:00,21.63,scheduled,BA02213,paid
P000133,S01936,2026-06-08 09:00:00,91.79,scheduled,BA00242,paid
P000134,S00915,2026-06-08 09:00:00,166.19,scheduled,BA01127,paid
P000135,S01929,2026-06-08 09:00:00,37.0,scheduled,BA00571,paid
P000136,S00752,2026-06-08 09:00:00,101.05,scheduled,BA02232,paid
P000137,S00376,2026-06-08 09:00:00,54.04,scheduled,BA01971,paid
P000138,S00954,2026-06-08 09:00:00,524.16,scheduled,BA00572,paid
P000139,S01087,2026-06-08 09:00:00,66.53,scheduled,BA00241,paid
P000140,S00584,2026-06-08 09:00:00,35.09,scheduled,BA01125,paid
P000141,S00231,2026-06-08 09:00:00,333.42,scheduled,BA02210,paid
P000142,S01498,2026-06-08 09:00:00,277.59,scheduled,BA01803,paid
P000143,S00417,2026-06-08 09:00:00,524.71,scheduled,BA00573,paid
P000144,S01572,2026-06-08 09:00:00,690.98,scheduled,BA01955,paid
P000145,S00813,2026-06-08 09:00:00,14.78,scheduled,BA00240,paid
P000146,S00600,2026-06-08 09:00:00,166.96,scheduled,BA00236,paid
P000147,S00402,2026-06-08 09:00:00,66.15,scheduled,BA01123,paid
P000148,S00608,2026-06-08 09:00:00,79.75,scheduled,BA01333,paid
P000149,S01611,2026-06-08 09:00:00,697.34,scheduled,BA01494,paid
P000150,S00326,2026-06-08 09:00:00,714.23,scheduled,BA00580,paid
P000151,S00013,2026-06-08 09:00:00,290.01,scheduled,BA01499,paid
P000152,S00594,2026-06-08 09:00:00,83.12,scheduled,BA01507,paid
P000153,S01850,2026-06-08 09:00:00,166.8,scheduled,BA00585,paid
P000154,S00949,2026-06-08 09:00:00,189.73,scheduled,BA00586,paid
P000155,S00073,2026-06-08 09:00:00,160.34,scheduled,BA01108,paid
P000156,S00316,2026-06-08 09:00:00,25.79,scheduled,BA02304,paid
P000157,S01091,2026-06-08 09:00:00,762.38,scheduled,BA00232,paid
P000158,S00111,2026-06-08 09:00:00,403.56,scheduled,BA01795,paid
P000159,S01228,2026-06-08 09:00:00,85.68,scheduled,BA01508,paid
P000160,S00293,2026-06-08 09:00:00,20.44,scheduled,BA02362,paid
P000161,S01084,2026-06-08 09:00:00,57.82,scheduled,BA01978,paid
P000162,S00256,2026-06-08 09:00:00,2666.78,scheduled,BA01506,paid
P000163,S00606,2026-06-08 09:00:00,88.18,scheduled,BA01347,paid
P000164,S00523,2026-06-08 09:00:00,28.15,scheduled,BA00376,paid
P000165,S00265,2026-06-08 09:00:00,351.86,scheduled,BA00587,paid
P000166,S00924,2026-06-08 09:00:00,1226.7,scheduled,BA00231,paid
P000167,S00978,2026-06-08 09:00:00,195.32,scheduled,BA01105,paid
P000168,S01979,2026-06-08 09:00:00,566.45,scheduled,BA00589,paid
P000169,S01265,2026-06-08 09:00:00,65.28,scheduled,BA01510,paid
P000170,S00899,2026-06-08 09:00:00,356.63,scheduled,BA01103,paid
P000171,S01268,2026-06-08 09:00:00,190.18,scheduled,BA01979,paid
P000172,S00114,2026-06-08 09:00:00,171.91,scheduled,BA00590,paid
P000173,S00340,2026-06-08 09:00:00,32.89,scheduled,BA01794,paid
P000174,S01663,2026-06-08 09:00:00,399.89,scheduled,BA01509,paid
P000175,S01697,2026-06-08 09:00:00,570.64,scheduled,BA01817,paid
P000176,S00344,2026-06-08 09:00:00,7140.19,scheduled,BA00265,paid
P000177,S01212,2026-06-08 09:00:00,50.34,scheduled,BA01110,paid
P000178,S01570,2026-06-08 09:00:00,364.37,scheduled,BA01974,paid
P000179,S01909,2026-06-08 09:00:00,46.09,scheduled,BA01804,reversed
P000180,S01152,2026-06-08 09:00:00,144.49,scheduled,BA01117,paid
P000181,S00470,2026-06-08 09:00:00,333.07,scheduled,BA01500,paid
P000182,S01032,2026-06-08 09:00:00,406.89,scheduled,BA02204,paid
P000183,S00782,2026-06-08 09:00:00,971.69,scheduled,BA00581,paid
P000184,S00041,2026-06-08 09:00:00,320.56,scheduled,BA00235,paid
P000185,S01976,2026-06-08 09:00:00,134.06,scheduled,BA01115,paid
P000186,S00468,2026-06-08 09:00:00,92.53,scheduled,BA00582,paid
P000187,S00798,2026-06-08 09:00:00,77.55,scheduled,BA01501,paid
P000188,S00369,2026-06-08 09:00:00,72.01,scheduled,BA00233,paid
P000189,S01542,2026-06-08 09:00:00,122.59,scheduled,BA01502,paid
P000190,S01114,2026-06-08 09:00:00,517.32,scheduled,BA00540,paid
P000191,S00144,2026-06-08 09:00:00,97.97,scheduled,BA01976,paid
P000192,S00696,2026-06-08 09:00:00,1423.69,scheduled,BA00583,paid
P000193,S01444,2026-06-08 09:00:00,307.72,scheduled,BA00234,paid
P000194,S00101,2026-06-08 09:00:00,19.69,scheduled,BA02203,paid
P000195,S00539,2026-06-08 09:00:00,287.86,scheduled,BA01797,paid
P000196,S00158,2026-06-08 09:00:00,30.82,scheduled,BA01505,paid
P000197,S01900,2026-06-08 09:00:00,658.2,scheduled,BA01338,paid
P000198,S00426,2026-06-08 09:00:00,146.64,scheduled,BA01111,paid
P000199,S00037,2026-06-08 09:00:00,198.94,scheduled,BA00584,paid
P000200,S00502,06/08/2026 09:00,272.55,scheduled,BA01114,paid
P000201,S00010,2026-06-08 09:00:00,1613.52,scheduled,BA01129,paid
P000202,S00387,2026-06-08 09:00:00,24.23,scheduled,BA00264,paid
P000203,S01650,2026-06-08 09:00:00,2494.6,scheduled,BA02214,paid
P000204,S01256,2026-06-08 09:00:00,889.2,scheduled,BA02349,paid
P000205,S00879,2026-06-08 09:00:00,224.13,scheduled,BA01477,paid
P000206,S00291,2026-06-08 09:00:00,530.17,scheduled,BA02228,paid
P000207,S00763,2026-06-08 09:00:00,54.68,scheduled,BA01960,paid
P000208,S01589,2026-06-08 09:00:00,74.14,scheduled,BA00552,paid
P000209,S01854,2026-06-08 09:00:00,145.63,scheduled,BA01811,paid
P000210,S00803,2026-06-08 09:00:00,146.89,scheduled,BA01153,paid
P000211,S01932,2026-06-08 09:00:00,2193.03,scheduled,BA00553,paid
P000211,S01932,2026-06-08 09:00:00,2193.03,scheduled,BA00553,paid
P000212,S00083,2026-06-08 09:00:00,31.74,scheduled,BA00381,paid
P000213,S00534,2026-06-08 09:00:00,153.01,scheduled,BA00255,paid
P000214,S01695,2026-06-08 09:00:00,68.35,scheduled,BA00257,paid
P000215,S00670,2026-06-08 09:00:00,79.06,scheduled,BA01480,failed
P000216,S01270,2026-06-08 09:00:00,125.44,scheduled,BA02351,paid
P000217,S01514,2026-06-08 09:00:00,49.8,scheduled,BA01879,paid
P000218,S00333,2026-06-08 09:00:00,475.98,scheduled,BA01961,paid
P000219,S01017,2026-06-08 09:00:00,49.7,scheduled,BA00253,paid
P000220,S00816,2026-06-08 09:00:00,205.39,scheduled,BA01810,paid
P000221,S01172,2026-06-08 09:00:00,692.92,scheduled,BA02352,paid
P000222,S01690,2026-06-08 09:00:00,106.83,scheduled,BA02305,paid
P000223,S00541,2026-06-08 09:00:00,92.19,scheduled,BA01147,paid
P000224,S00750,2026-06-08 09:00:00,243.76,scheduled,BA00252,paid
P000225,S00975,2026-06-08 09:00:00,327.23,scheduled,BA01146,paid
P000226,S00418,2026-06-08 09:00:00,53.07,scheduled,BA01152,paid
P000227,S01804,2026-06-08 09:00:00,119.61,scheduled,BA01962,paid
P000228,S00197,2026-06-08 09:00:00,402.51,scheduled,BA01815,paid
P000229,S00546,2026-06-08 09:00:00,137.99,scheduled,BA01156,paid
P000230,S01056,2026-06-08 09:00:00,78.13,scheduled,BA01162,paid
P000231,S01003,2026-06-08 09:00:00,259.27,scheduled,BA00545,paid
P000232,S00607,2026-06-08 09:00:00,172.72,scheduled,BA00261,paid
P000233,S01831,2026-06-08 09:00:00,1239.88,scheduled,BA01470,paid
P000234,S00728,2026-06-08 09:00:00,78.28,scheduled,BA01473,paid
P000235,S01448,2026-06-08 09:00:00,274.81,scheduled,BA01161,paid
P000236,S00530,2026-06-08 09:00:00,64.95,scheduled,BA01956,paid
P000237,S01428,2026-06-08 09:00:00,2023.35,scheduled,BA00546,paid
P000238,S01508,2026-06-08 09:00:00,147.07,scheduled,BA01957,paid
P000239,S00525,2026-06-08 09:00:00,107.21,scheduled,BA00260,paid
P000240,S00134,2026-06-08 09:00:00,78.43,scheduled,BA00551,paid
P000241,S00001,2026-06-08 09:00:00,50.43,scheduled,BA00547,paid
P000242,S00873,2026-06-08 09:00:00,83.98,scheduled,BA01159,paid
P000243,S01776,2026-06-08 09:00:00,577.68,scheduled,BA00549,paid
P000244,S00797,2026-06-08 09:00:00,528.07,scheduled,BA01812,paid
P000245,S00544,2026-06-08 09:00:00,216.56,scheduled,BA01475,paid
P000246,S01202,2026-06-08 09:00:00,52.57,scheduled,BA00259,paid
P000247,S00937,2026-06-08 09:00:00,113.34,scheduled,BA02229,paid
P000248,S01899,2026-06-08 09:00:00,520.73,scheduled,BA01157,paid
P000249,S00416,2026-06-08 09:00:00,64.89,scheduled,BA00550,paid
P000250,S00686,2026-06-08 09:00:00,3030.69,scheduled,BA01958,paid
P000251,S01384,2026-06-08 09:00:00,96.81,scheduled,BA01959,paid
P000252,S00027,2026-06-08 09:00:00,156.3,scheduled,BA01350,paid
P000253,S00687,2026-06-08 09:00:00,617.9,scheduled,BA00557,paid
P000254,S01366,2026-06-08 09:00:00,42.46,scheduled,BA01483,paid
P000255,S01250,06/08/2026 09:00,15.8,scheduled,BA01336,paid
P000256,S01260,2026-06-08 09:00:00,151.01,scheduled,BA01965,paid
P000257,S01307,2026-06-08 09:00:00,755.75,scheduled,BA00564,paid
P000258,S00271,2026-06-08 09:00:00,65.6,scheduled,BA01134,paid
P000259,S01400,2026-06-08 09:00:00,486.19,scheduled,BA00246,paid
P000260,S00835,2026-06-08 09:00:00,325.85,scheduled,BA01806,paid
P000261,S01970,2026-06-08 09:00:00,118.06,scheduled,BA00380,paid
P000262,S00385,2026-06-08 09:00:00,233.45,scheduled,BA00566,paid
P000263,S00853,2026-06-08 09:00:00,135.51,scheduled,BA01489,paid
P000264,S00410,2026-06-08 09:00:00,109.46,scheduled,BA01133,paid
P000265,S00940,2026-06-08 09:00:00,215.93,scheduled,BA01511,paid
P000266,S00647,2026-06-08 09:00:00,17.58,scheduled,BA01487,paid
P000267,S00979,2026-06-08 09:00:00,21.28,scheduled,BA01349,paid
P000268,S01002,2026-06-08 09:00:00,51.17,scheduled,BA01968,paid
P000269,S00657,2026-06-08 09:00:00,166.66,scheduled,BA00244,paid
P000270,S01195,2026-06-08 09:00:00,65.94,scheduled,BA01872,paid
P000271,S00617,2026-06-08 09:00:00,1109.27,scheduled,BA02356,paid
P000272,S01086,2026-06-08 09:00:00,203.87,scheduled,BA00567,paid
P000273,S01677,2026-06-08 09:00:00,244.83,scheduled,BA01490,paid
P000274,S00374,2026-06-08 09:00:00,670.63,scheduled,BA01130,paid
P000275,S00963,2026-06-08 09:00:00,620.13,scheduled,BA02215,paid
P000276,S01233,2026-06-08 09:00:00,52.95,scheduled,BA01335,paid
P000277,S00206,2026-06-08 09:00:00,528.59,scheduled,BA02301,paid
P000278,S00781,2026-06-08 09:00:00,156.36,scheduled,BA01805,paid
P000279,S01968,2026-06-08 09:00:00,211.32,scheduled,BA01135,paid
P000280,S00295,2026-06-08 09:00:00,47.27,scheduled,BA02355,paid
P000281,S00079,2026-06-08 09:00:00,588.18,scheduled,BA00247,paid
P000282,S00284,2026-06-08 09:00:00,107.76,scheduled,BA00362,paid
P000283,S01867,2026-06-08 09:00:00,62.24,scheduled,BA00558,paid
P000284,S01301,2026-06-08 09:00:00,136.22,scheduled,BA02223,paid
P000285,S01187,2026-06-08 09:00:00,13.88,scheduled,BA01144,paid
P000286,S01787,2026-06-08 09:00:00,606.03,scheduled,BA01963,paid
P000287,S01634,2026-06-08 09:00:00,718.9,scheduled,BA00249,paid
P000288,S00004,2026-06-08 09:00:00,727.22,scheduled,BA02353,paid
P000289,S01475,2026-06-08 09:00:00,424.42,scheduled,BA01142,paid
P000290,S00220,2026-06-08 09:00:00,974.9,scheduled,BA01484,paid
P000291,S00711,2026-06-08 09:00:00,57.73,scheduled,BA00560,paid
P000292,S01641,2026-06-08 09:00:00,434.65,scheduled,BA01809,paid
P000293,S00575,2026-06-08 09:00:00,208.59,scheduled,BA01485,paid
P000294,S00169,2026-06-08 09:00:00,253.93,scheduled,BA02222,paid
P000295,S00047,2026-06-08 09:00:00,776.52,scheduled,BA01163,paid
P000296,S00096,2026-06-08 09:00:00,915.67,scheduled,BA00263,paid
P000297,S00113,2026-06-08 09:00:00,53.02,scheduled,BA01164,paid
P000298,S00429,06/08/2026 09:00,97.48,scheduled,BA00248,paid
P000299,S00640,2026-06-08 09:00:00,1223.75,scheduled,BA01141,paid
P000300,S00321,2026-06-08 09:00:00,165.68,scheduled,BA00561,paid
P000301,S00250,2026-06-08 09:00:00,262.07,scheduled,BA01486,paid
P000302,S00380,2026-06-08 09:00:00,92.48,scheduled,BA00541,paid
P000303,S00411,2026-06-08 09:00:00,682.57,scheduled,BA00562,paid
P000304,S01699,2026-06-08 09:00:00,140.91,scheduled,BA01137,paid
P000305,S01008,2026-06-08 09:00:00,40.3,scheduled,BA00243,paid
P000306,S00936,2026-06-08 09:00:00,653.6,scheduled,BA01132,paid
P000307,S01655,2026-06-08 09:00:00,557.08,scheduled,BA00591,paid
P000308,S01797,2026-06-08 09:00:00,280.66,scheduled,BA02200,paid
P000309,S01150,2026-06-08 09:00:00,14.35,scheduled,BA01053,paid
P000310,S01183,2026-06-08 09:00:00,215.43,scheduled,BA01340,paid
P000311,S01518,2026-06-08 09:00:00,17.63,scheduled,BA00634,paid
P000312,S00841,2026-06-08 09:00:00,63.66,scheduled,BA02178,paid
P000313,S00224,2026-06-08 09:00:00,1156.49,scheduled,BA00635,paid
P000314,S00593,2026-06-08 09:00:00,148.57,scheduled,BA01778,paid
P000315,S00406,2026-06-08 09:00:00,155.33,scheduled,BA01540,paid
P000316,S01470,2026-06-08 09:00:00,212.33,scheduled,BA00201,reversed
P000317,S01314,2026-06-08 09:00:00,75.27,scheduled,BA01052,paid
P000318,S00448,2026-06-08 09:00:00,113.18,scheduled,BA01542,paid
P000319,S00625,2026-06-08 09:00:00,63.87,scheduled,BA00636,paid
P000320,S00900,2026-06-08 09:00:00,36.85,scheduled,BA00200,paid
P000321,S00907,2026-06-08 09:00:00,267.07,scheduled,BA01051,paid
P000322,S00085,2026-06-08 09:00:00,223.44,scheduled,BA02376,paid
P000323,S01298,2026-06-08 09:00:00,163.21,scheduled,BA01049,paid
P000324,S01549,2026-06-08 09:00:00,52.45,scheduled,BA02177,paid
P000325,S00328,2026-06-08 09:00:00,819.02,scheduled,BA02003,paid
P000326,S00043,2026-06-08 09:00:00,241.91,scheduled,BA00638,paid
P000327,S00245,2026-06-08 09:00:00,19.71,scheduled,BA00199,paid
P000328,S01741,2026-06-08 09:00:00,239.32,scheduled,BA01048,paid
P000329,S00445,2026-06-08 09:00:00,204.82,scheduled,BA00639,paid
P000330,S00620,2026-06-08 09:00:00,288.67,scheduled,BA01543,paid
P000331,S00255,2026-06-08 09:00:00,154.25,scheduled,BA01776,paid
P000332,S01480,2026-06-08 09:00:00,848.8,scheduled,BA02375,paid
P000333,S01815,2026-06-08 09:00:00,65.95,scheduled,BA00203,paid
P000334,S00895,2026-06-08 09:00:00,16.24,scheduled,BA01054,paid
P000335,S00878,2026-06-08 09:00:00,327.62,scheduled,BA01539,paid
P000336,S01553,2026-06-08 09:00:00,103.81,scheduled,BA01060,paid
P000337,S00108,2026-06-08 09:00:00,405.15,scheduled,BA00625,paid
P000338,S00475,2026-06-08 09:00:00,153.51,scheduled,BA01059,paid
P000339,S00120,2026-06-08 09:00:00,214.75,scheduled,BA00208,paid
P000340,S00493,2026-06-08 09:00:00,331.84,scheduled,BA02181,paid
P000341,S01386,2026-06-08 09:00:00,1033.89,scheduled,BA00626,paid
P000342,S01352,2026-06-08 09:00:00,1341.66,scheduled,BA01534,paid
P000343,S01744,2026-06-08 09:00:00,1229.03,scheduled,BA02000,paid
P000344,S01371,2026-06-08 09:00:00,462.45,scheduled,BA00207,paid
P000345,S01584,2026-06-08 09:00:00,854.43,scheduled,BA01057,paid
P000346,S01128,2026-06-08 09:00:00,77.35,scheduled,BA01780,paid
P000347,S01322,2026-06-08 09:00:00,208.59,scheduled,BA01544,paid
P000348,S00906,2026-06-08 09:00:00,1157.97,scheduled,BA01536,paid
P000349,S00889,2026-06-08 09:00:00,1033.54,scheduled,BA02302,paid
P000350,S01097,2026-06-08 09:00:00,32.28,scheduled,BA01056,paid
P000351,S00872,2026-06-08 09:00:00,66.24,scheduled,BA01537,paid
P000352,S00758,2026-06-08 09:00:00,71.9,scheduled,BA02180,paid
P000353,S00086,2026-06-08 09:00:00,829.06,scheduled,BA00205,paid
P000354,S00262,2026-06-08 09:00:00,2887.32,scheduled,BA00630,paid
P000355,S01713,2026-06-08 09:00:00,711.36,scheduled,BA01055,paid
P000356,S01037,2026-06-08 09:00:00,83.25,scheduled,BA02001,paid
P000357,S01048,2026-06-08 09:00:00,334.5,scheduled,BA00204,paid
P000358,S00019,2026-06-08 09:00:00,711.11,scheduled,BA01538,paid
P000359,S01906,2026-06-08 09:00:00,671.51,scheduled,BA00633,paid
P000360,S00119,2026-06-08 09:00:00,15.7,scheduled,BA02374,paid
P000361,S01490,2026-06-08 09:00:00,211.55,scheduled,BA01047,paid
P000362,S00181,2026-06-08 09:00:00,110.46,scheduled,BA02175,paid
P000363,S01507,2026-06-08 09:00:00,35.47,scheduled,BA00198,paid
