seller_id,is_structuring,seller_group
S00304,0,normal
S00305,1,easy
S00306,0,normal
S00307,0,normal
S00308,0,normal
S00309,0,normal
S00310,0,normal
S00311,0,decoy_highvalue
S00312,0,normal
S00313,0,normal
S00314,0,normal
S00315,0,normal
S00316,0,normal
S00317,0,normal
S00318,0,normal
S00319,0,normal
S00320,0,normal
S00321,0,normal
S00322,0,normal
S00323,0,normal
S00324,0,normal
S00325,0,decoy_business
S00326,0,normal
S00327,0,normal
S00328,0,normal
S00329,0,normal
S00330,0,normal
S00331,0,normal
S00332,0,normal
S00333,0,normal
S00334,0,normal
S00335,0,normal
S00336,0,normal
S00337,0,normal
S00338,0,normal
S00339,0,normal
S00340,0,normal
S00341,0,normal
S00342,0,normal
S00343,0,normal
S00344,0,normal
S00345,0,normal
S00346,0,normal
S00347,0,normal
S00348,0,normal
S00349,0,normal
S00350,0,normal
S00351,0,normal
S00352,0,normal
S00353,0,normal
S00354,0,normal
S00355,0,normal
S00356,0,normal
S00357,0,normal
S00358,0,normal
S00359,0,normal
S00360,0,normal
S00361,0,normal
S00362,0,normal
S00363,0,normal
S00364,0,normal
S00365,0,decoy_highvalue
S00366,0,normal
S00367,0,normal
S00368,0,normal
S00369,0,normal
S00370,0,normal
S00371,0,normal
S00372,0,normal
S00373,0,normal
S00374,0,normal
S00375,0,normal
S00376,0,normal
S00377,0,normal
S00378,0,decoy_seasonal
S00379,1,hard
S00380,0,normal
S00381,0,normal
S00382,0,normal
S00383,0,normal
S00384,0,normal
S00385,0,normal
S00386,0,normal
S00387,0,normal
S00388,0,normal
S00389,0,normal
S00390,0,normal
S00391,0,normal
S00392,0,normal
S00393,0,normal
S00394,0,normal
S00395,0,normal
S00396,0,normal
S00397,0,normal
S00398,0,normal
S00399,0,normal
S00400,0,normal
S00401,0,normal
S00402,0,normal
S00403,0,normal
S00404,0,normal
S00405,0,normal
S00406,0,normal
S00407,0,normal
S00408,1,medium
S00409,0,normal
S00410,0,normal
S00411,0,normal
S00412,0,normal
S00413,0,normal
S00414,0,normal
S00415,0,normal
S00416,0,normal
S00417,0,normal
S00418,0,normal
S00419,0,normal
S00420,0,normal
S00421,0,normal
S00422,0,normal
S00423,0,normal
S00424,0,normal
S00425,0,normal
S00426,0,normal
S00427,0,normal
S00428,0,normal
S00429,0,normal
S00430,0,normal
S00431,0,normal
S00432,0,normal
S00433,1,easy
S00434,0,normal
S00435,0,normal
S00436,0,normal
S00437,0,normal
S00438,0,normal
S00439,0,normal
S00440,0,normal
S00441,0,normal
S00442,0,normal
S00443,0,normal
S00444,1,easy
S00445,0,normal
S00446,0,normal
S00447,0,normal
S00448,0,normal
S00449,0,normal
S00450,0,normal
S00451,0,normal
S00452,0,normal
S00453,0,normal
S00454,0,decoy_business
S00455,0,normal
S00456,0,normal
S00457,0,normal
S00458,0,normal
S00459,0,normal
S00460,0,normal
S00461,0,normal
S00462,0,normal
S00463,0,normal
S00464,0,normal
S00465,1,hard
S00466,0,normal
S00467,0,normal
S00468,0,normal
S00469,0,normal
S00470,0,normal
S00471,0,normal
S00472,0,normal
S00473,0,normal
S00474,0,normal
S00475,0,normal
S00476,0,normal
S00477,0,normal
S00478,0,normal
S00479,0,normal
S00480,0,normal
S00481,0,normal
S00482,0,normal
S00483,0,normal
S00484,0,normal
S00485,0,normal
S00486,0,normal
S00487,0,normal
S00488,0,normal
S00489,0,normal
S00490,0,normal
S00491,0,normal
S00492,0,normal
S00493,0,normal
S00494,0,normal
S00495,0,normal
S00496,0,normal
S00497,0,normal
S00498,0,normal
S00499,0,normal
S00500,0,normal
S00501,0,normal
S00502,0,normal
S00503,0,normal
S00504,0,normal
S00505,0,normal
S00506,0,normal
S00507,0,normal
S00508,0,normal
S00509,0,normal
S00510,0,normal
S00511,0,normal
S00512,0,normal
S00513,0,normal
S00514,0,normal
S00515,0,normal
S00516,0,normal
S00517,0,normal
S00518,0,normal
S00519,0,normal
S00520,0,normal
S00521,0,decoy_business
S00522,0,normal
S00523,0,normal
S00524,0,normal
S00525,0,normal
S00526,0,normal
S00527,0,normal
S00528,0,normal
S00529,0,normal
S00530,0,normal
S00531,0,normal
S00532,0,normal
S00533,0,normal
S00534,0,normal
S00535,0,normal
S00536,0,normal
S00537,1,easy
S00538,0,normal
S00539,0,normal
S00540,0,normal
S00541,0,normal
S00542,0,normal
S00543,0,normal
S00544,0,normal
S00545,0,normal
S00546,0,normal
S00547,0,normal
S00548,0,normal
S00549,0,normal
S00550,0,normal
S00551,0,normal
S00552,0,normal
S00553,0,normal
S00554,0,normal
S00555,0,normal
S00556,0,decoy_business
S00557,0,normal
S00558,0,normal
S00559,0,normal
S00560,0,decoy_business
S00561,0,normal
S00562,0,normal
S00563,0,normal
S00564,0,normal
S00565,0,normal
S00566,0,normal
S00567,0,normal
S00568,0,normal
S00569,0,normal
S00570,0,normal
S00571,0,normal
S00572,0,normal
S00573,0,normal
S00574,0,normal
S00575,0,normal
S00576,0,normal
S00577,0,normal
S00578,0,normal
S00579,0,normal
S00580,0,normal
S00581,0,normal
S00582,0,normal
S00583,0,normal
S00584,0,normal
S00585,0,normal
S00586,0,normal
S00587,0,normal
S00588,0,normal
S00589,1,easy
S00590,0,normal
S00591,0,decoy_business
S00592,0,normal
S00593,0,normal
S00594,0,normal
S00595,0,decoy_highvalue
S00596,0,normal
S00597,0,normal
S00598,0,normal
S00599,0,normal
S00600,0,normal
S00601,0,normal
S00602,0,normal
S00603,0,decoy_highvalue
S00604,0,normal
S00605,0,normal
S00606,0,normal
S00607,0,normal
S00608,0,normal
S00609,0,normal
S00610,0,normal
S00611,0,normal
S00612,0,normal
S00613,0,normal
S00614,0,normal
S00615,0,normal
S00616,0,normal
S00617,0,normal
S00618,0,normal
S00619,0,normal
S00620,0,normal
S00621,0,normal
S00622,0,normal
S00623,0,normal
S00624,0,normal
S00625,0,normal
S00626,0,normal
S00627,0,normal
S00628,0,normal
S00629,1,hard
S00630,0,normal
S00631,0,normal
S00632,0,normal
S00633,0,normal
S00634,0,normal
S00635,0,normal
S00636,0,normal
S00637,0,normal
S00638,0,normal
S00639,0,normal
S00640,0,normal
S00641,0,normal
S00642,0,decoy_highvalue
S00643,0,normal
S00644,0,normal
S00645,0,normal
S00646,0,normal
S00647,0,normal
S00648,0,normal
S00649,0,normal
S00650,0,normal
S00651,0,normal
S00652,0,normal
S00653,0,normal
S00654,0,normal
S00655,0,normal
S00656,0,normal
S00657,0,normal
S00658,0,normal
S00659,0,normal
S00660,0,normal
S00661,0,normal
S00662,0,normal
S00663,0,normal
S00664,0,normal
S00665,0,normal
S00666,0,normal
S00667,0,normal
S00668,0,normal
S00669,0,normal
S00670,0,normal
S00671,0,normal
S00672,0,normal
S00673,0,normal
S00674,1,hard
S00675,0,normal
S00676,0,normal
S00677,0,normal
S00678,0,normal
S00679,0,normal
S00680,0,normal
S00681,0,normal
S00682,0,normal
S00683,0,normal
S00684,0,normal
S00685,0,normal
S00686,0,normal
S00687,0,normal
S00688,0,normal
S00689,0,normal
S00690,0,normal
S00691,0,normal
S00692,0,normal
S00693,0,normal
S00694,0,normal
S00695,0,normal
S00696,0,normal
S00697,0,normal
S00698,0,normal
S00699,0,normal
S00700,0,normal
S00701,0,normal
S00702,0,normal
S00703,0,normal
S00704,0,normal
S00705,0,normal
S00706,0,normal
S00707,0,normal
S00708,0,normal
S00709,0,normal
S00710,0,normal
S00711,0,normal
S00712,0,normal
S00713,0,normal
S00714,0,normal
S00715,0,normal
S00716,0,normal
S00717,0,normal
S00718,0,normal
S00719,0,normal
S00720,0,normal
S00721,0,normal
S00722,0,normal
S00723,0,normal
S00724,0,normal
S00725,0,normal
S00726,0,normal
S00727,0,normal
S00728,0,normal
S00729,0,normal
S00730,0,normal
S00731,0,normal
S00732,0,normal
S00733,0,normal
S00734,0,normal
S00735,1,medium
S00736,0,normal
S00737,0,normal
S00738,0,normal
S00739,0,normal
S00740,0,normal
S00741,0,normal
S00742,0,normal
S00743,0,normal
S00744,0,normal
S00745,0,decoy_highvalue
S00746,0,normal
S00747,0,normal
S00748,0,decoy_business
S00749,0,normal
S00750,0,normal
S00751,0,normal
S00752,0,normal
S00753,0,normal
S00754,1,medium
S00755,0,normal
S00756,1,medium
S00757,0,decoy_highvalue
S00758,0,normal
S00759,0,normal
S00760,0,normal
S00761,1,medium
S00762,0,normal
S00763,0,normal
S00764,0,normal
S00765,0,normal
S00766,1,hard
S00767,0,normal
S00768,0,normal
S00769,0,normal
S00770,0,normal
S00771,0,decoy_business
S00772,0,normal
S00773,0,normal
S00774,0,normal
S00775,0,normal
S00776,0,decoy_highvalue
S00777,0,normal
S00778,0,normal
S00779,0,normal
S00780,0,normal
S00781,0,normal
S00782,0,normal
S00783,0,decoy_business
S00784,0,normal
S00785,0,decoy_highvalue
S00786,0,normal
S00787,0,normal
S00788,0,normal
S00789,0,normal
S00790,0,normal
S00791,0,normal
S00792,0,normal
S00793,0,normal
S00794,0,normal
S00795,0,normal
S00796,0,normal
S00797,0,normal
S00798,0,normal
S00799,0,normal
S00800,0,normal
S00801,0,decoy_seasonal
S00802,0,normal
S00803,0,normal
S00804,0,normal
S00805,0,normal
S00806,0,normal
S00807,0,normal
S00808,0,normal
S00809,0,normal
S00810,0,normal
S00811,0,decoy_highvalue
S00812,0,normal
S00813,0,normal
S00814,0,normal
S00815,0,normal
S00816,0,normal
S00817,0,normal
S00818,0,normal
S00819,0,normal
S00820,0,normal
S00821,0,normal
S00822,0,decoy_highvalue
S00823,0,normal
S00824,0,normal
S00825,0,normal
S00826,0,normal
S00827,0,normal
S00828,0,normal
S00829,0,normal
S00830,0,normal
S00831,0,normal
S00832,1,medium
S00833,0,normal
S00834,0,normal
S00835,0,normal
S00836,0,normal
S00837,0,normal
S00838,0,normal
S00839,0,normal
S00840,0,decoy_seasonal
S00841,0,normal
S00842,0,normal
S00843,0,decoy_highvalue
S00844,0,normal
S00845,0,normal
S00846,0,normal
S00847,0,normal
S00848,0,normal
S00849,0,normal
S00850,0,normal
S00851,0,normal
S00852,0,normal
S00853,0,normal
S00854,0,normal
S00855,0,decoy_business
S00856,0,normal
S00857,0,normal
S00858,0,normal
S00859,0,normal
S00860,0,normal
S00861,0,normal
S00862,0,normal
S00863,0,normal
S00864,0,normal
S00865,0,normal
S00866,0,normal
S00867,0,normal
S00868,0,normal
S00869,0,normal
S00870,0,normal
S00871,0,normal
S00872,0,normal
S00873,0,normal
S00874,0,normal
S00875,0,normal
S00876,0,normal
S00877,0,normal
S00878,0,normal
S00879,0,normal
S00880,0,normal
S00881,0,normal
S00882,0,normal
S00883,0,normal
S00884,0,normal
S00885,0,normal
S00886,0,normal
S00887,0,normal
S00888,0,normal
S00889,0,normal
S00890,0,decoy_business
S00891,0,normal
S00892,0,normal
S00893,0,normal
S00894,0,decoy_highvalue
S00895,0,normal
S00896,0,normal
S00897,0,normal
S00898,0,normal
S00899,0,normal
S00900,0,decoy_seasonal
S00901,0,normal
S00902,0,normal
S00903,0,normal
S00904,0,normal
S00905,0,normal
S00906,0,normal
S00907,0,normal
S00908,0,normal
S00909,0,normal
S00910,0,normal
S00911,0,normal
S00912,0,normal
S00913,1,easy
S00914,0,normal
S00915,0,normal
S00916,0,normal
S00917,0,normal
S00918,0,normal
S00919,0,normal
S00920,0,normal
S00921,0,normal
S00922,1,hard
S00923,0,normal
S00924,0,normal
S00925,0,normal
S00926,0,decoy_seasonal
S00927,0,normal
S00928,0,normal
S00929,0,normal
S00930,0,normal
S00931,0,normal
S00932,0,normal
S00933,0,normal
S00934,0,decoy_seasonal
S00935,0,decoy_highvalue
S00936,0,normal
S00937,0,normal
S00938,0,normal
S00939,0,normal
S00940,0,normal
S00941,0,normal
S00942,0,normal
S00943,0,normal
S00944,0,normal
S00945,0,normal
S00946,0,normal
S00947,0,normal
S00948,0,normal
S00949,0,normal
S00950,0,normal
S00951,0,normal
S00952,0,normal
S00953,0,normal
S00954,0,normal
S00955,0,normal
S00956,0,normal
S00957,0,normal
S00958,0,normal
S00959,0,normal
S00960,0,normal
S00961,0,decoy_highvalue
S00962,0,decoy_business
S00963,0,normal
S00964,0,normal
S00965,0,normal
S00966,0,normal
S00967,0,normal
S00968,0,normal
S00969,0,normal
S00970,0,normal
S00971,0,normal
S00972,0,normal
S00973,0,normal
S00974,0,normal
S00975,0,normal
S00976,0,normal
S00977,0,normal
S00978,0,normal
S00979,0,normal
S00980,0,normal
S00981,0,normal
S00982,1,easy
S00983,0,normal
S00984,0,normal
S00985,0,normal
S00986,0,normal
S00987,0,normal
S00988,0,normal
S00989,1,easy
S00990,0,normal
S00991,0,normal
S00992,0,normal
S00993,0,normal
S00994,0,normal
S00995,0,normal
S00996,0,normal
S00997,0,normal
S00998,0,normal
S00999,0,normal
S01000,0,normal
S01001,0,normal
S01002,0,normal
S01003,0,normal
S01004,0,normal
S01005,0,normal
S01006,0,normal
S01007,0,normal
S01008,0,normal
S01009,0,normal
S01010,0,normal
S01011,0,normal
S01012,0,decoy_business
S01013,1,easy
S01014,0,normal
S01015,0,normal
S01016,0,normal
S01017,0,normal
S01018,0,normal
S01019,0,normal
S01020,0,normal
S01021,0,normal
S01022,0,normal
S01023,1,hard
S01024,0,normal
S01025,0,normal
S01026,0,normal
S01027,0,normal
S01028,1,easy
S01029,0,normal
S01030,0,normal
S01031,0,decoy_business
S01032,0,normal
S01033,0,normal
S01034,0,normal
S01035,0,normal
S01036,0,normal
S01037,0,normal
S01038,0,normal
S01039,0,normal
S01040,0,normal
S01041,0,normal
S01042,0,normal
S01043,1,hard
S01044,0,normal
S01045,0,normal
S01046,0,normal
S01047,0,decoy_highvalue
S01048,0,decoy_seasonal
S01049,0,normal
S01050,0,normal
S01051,0,normal
S01052,0,normal
S01053,0,normal
S01054,0,normal
S01055,0,decoy_highvalue
S01056,0,normal
S01057,0,normal
S01058,0,normal
S01059,0,normal
S01060,0,normal
S01061,0,normal
S01062,0,normal
S01063,0,normal
S01064,0,normal
S01065,0,normal
S01066,0,normal
S01067,0,normal
S01068,0,normal
S01069,0,normal
S01070,0,normal
S01071,0,normal
S01072,0,normal
S01073,0,normal
S01074,0,normal
S01075,0,normal
S01076,0,normal
S01077,0,normal
S01078,0,normal
S01079,0,normal
S01080,0,normal
S01081,0,normal
S01082,0,normal
S01083,1,easy
S01084,0,normal
S01085,0,normal
S01086,0,normal
S01087,0,normal
S01088,0,normal
S01089,0,normal
S01090,0,normal
S01091,0,normal
S01092,0,normal
S01093,0,normal
S01094,0,normal
S01095,0,normal
S01096,0,normal
S01097,0,normal
S01098,0,normal
S01099,0,normal
S01100,0,normal
S01101,0,normal
S01102,0,normal
S01103,0,normal
S01104,0,normal
S01105,0,normal
S01106,0,normal
S01107,0,normal
S01108,0,normal
S01109,1,medium
S01110,0,normal
S01111,0,normal
S01112,0,normal
S01113,0,normal
S01114,0,normal
S01115,0,normal
S01116,0,normal
S01117,0,normal
S01118,0,normal
S01119,0,normal
S01120,0,normal
S01121,0,normal
S01122,0,normal
S01123,0,normal
S01124,0,decoy_highvalue
S01125,0,normal
S01126,0,normal
S01127,0,normal
S01128,0,normal
S01129,0,normal
S01130,0,normal
S01131,0,normal
S01132,0,normal
S01133,0,normal
S01134,0,normal
S01135,0,normal
S01136,0,normal
S01137,0,normal
S01138,0,normal
S01139,0,normal
S01140,0,normal
S01141,0,decoy_highvalue
S01142,0,normal
S01143,0,normal
S01144,0,normal
S01145,0,normal
S01146,0,normal
S01147,0,normal
S01148,0,normal
S01149,0,normal
S01150,0,normal
S01151,0,normal
S01152,0,normal
S01153,0,normal
S01154,0,normal
S01155,0,decoy_highvalue
S01156,0,decoy_highvalue
S01157,0,normal
S01158,0,normal
S01159,0,normal
S01160,0,normal
S01161,0,normal
S01162,0,normal
S01163,0,normal
S01164,0,normal
S01165,0,normal
S01166,0,normal
S01167,0,normal
S01168,0,normal
S01169,0,normal
S01170,0,normal
S01171,0,normal
S01172,0,normal
S01173,0,normal
S01174,0,normal
S01175,0,normal
S01176,0,normal
S01177,0,normal
S01178,0,normal
S01179,0,normal
S01180,0,normal
S01181,0,normal
S01182,0,normal
S01183,0,normal
S01184,0,normal
S01185,0,normal
S01186,0,normal
S01187,0,normal
S01188,0,normal
S01189,0,normal
S01190,0,normal
S01191,0,normal
S01192,0,normal
S01193,0,normal
S01194,0,normal
S01195,0,normal
S01196,0,normal
S01197,0,normal
S01198,0,normal
S01199,0,normal
S01200,0,normal
S01201,0,decoy_highvalue
S01202,0,normal
S01203,0,normal
S01204,0,normal
S01205,0,normal
S01206,0,normal
S01207,0,normal
S01208,0,normal
S01209,0,normal
S01210,0,normal
S01211,0,normal
S01212,0,normal
S01213,0,normal
S01214,0,normal
S01215,0,normal
S01216,0,normal
S01217,0,normal
S01218,0,normal
S01219,0,normal
S01220,0,decoy_seasonal
S01221,0,normal
S01222,0,normal
S01223,0,normal
S01224,0,normal
S01225,0,normal
S01226,0,normal
S01227,0,normal
S01228,0,normal
S01229,0,normal
S01230,0,normal
S01231,0,normal
S01232,1,medium
S01233,0,normal
S01234,0,normal
S01235,0,normal
S01236,0,normal
S01237,0,normal
S01238,0,normal
S01239,0,normal
S01240,0,normal
S01241,0,normal
S01242,0,normal
S01243,0,normal
S01244,0,decoy_seasonal
S01245,0,normal
S01246,0,normal
S01247,0,normal
S01248,0,normal
S01249,0,normal
S01250,0,normal
S01251,0,normal
S01252,0,normal
S01253,0,normal
S01254,0,normal
S01255,0,normal
S01256,0,normal
S01257,0,normal
S01258,0,normal
S01259,1,easy
S01260,0,normal
S01261,0,normal
S01262,0,normal
S01263,0,normal
S01264,0,normal
S01265,0,normal
S01266,0,normal
S01267,0,normal
S01268,0,normal
S01269,0,normal
S01270,0,normal
S01271,0,normal
S01272,0,normal
S01273,0,normal
S01274,0,normal
S01275,0,normal
S01276,1,hard
S01277,0,normal
S01278,0,normal
S01279,1,hard
S01280,0,normal
S01281,0,normal
S01282,0,normal
S01283,0,normal
S01284,0,decoy_highvalue
S01285,0,normal
S01286,0,normal
S01287,0,normal
S01288,0,normal
S01289,0,normal
S01290,0,normal
S01291,0,normal
S01292,0,normal
S01293,0,normal
S01294,0,normal
S01295,0,normal
S01296,0,normal
S01297,0,normal
S01298,0,normal
S01299,0,normal
S01300,0,normal
S01301,0,normal
S01302,0,normal
S01303,0,normal
S01304,0,normal
S01305,0,normal
S01306,0,normal
S01307,0,normal
S01308,0,normal
S01309,0,normal
S01310,0,normal
S01311,0,normal
S01312,0,normal
S01313,0,normal
S01314,0,normal
S01315,0,normal
S01316,0,normal
S01317,0,normal
S01318,0,normal
S01319,0,normal
S01320,0,normal
S01321,0,normal
S01322,0,normal
S01323,0,normal
S01324,0,normal
S01325,0,normal
S01326,0,normal
S01327,1,medium
S01328,0,normal
S01329,0,normal
S01330,0,normal
S01331,0,normal
S01332,0,normal
S01333,0,normal
S01334,0,normal
S01335,0,normal
S01336,0,normal
S01337,0,normal
S01338,0,normal
S01339,0,normal
S01340,0,normal
S01341,0,normal
S01342,0,normal
S01343,0,normal
S01344,1,medium
S01345,0,normal
S01346,0,normal
S01347,0,normal
S01348,0,normal
S01349,0,normal
S01350,0,normal
S01351,0,normal
S01352,0,normal
S01353,0,normal
S01354,0,normal
S01355,0,normal
S01356,0,normal
S01357,0,normal
S01358,0,normal
S01359,0,normal
S01360,0,normal
S01361,0,normal
S01362,0,normal
S01363,0,decoy_highvalue
S01364,0,normal
S01365,0,normal
S01366,0,normal
S01367,0,normal
S01368,0,normal
S01369,0,decoy_highvalue
S01370,0,normal
S01371,0,decoy_seasonal
S01372,0,normal
S01373,0,normal
S01374,0,normal
S01375,0,normal
S01376,0,decoy_seasonal
S01377,0,normal
S01378,0,decoy_seasonal
S01379,0,normal
S01380,0,normal
S01381,0,normal
S01382,0,normal
S01383,0,normal
S01384,0,normal
S01385,0,normal
S01386,0,normal
S01387,0,normal
S01388,0,normal
S01389,0,normal
S01390,0,normal
S01391,0,normal
S01392,0,normal
S01393,0,normal
S01394,0,normal
S01395,1,medium
S01396,0,normal
S01397,0,normal
S01398,0,normal
S01399,0,normal
S01400,0,normal
S01401,0,normal
S01402,0,normal
S01403,0,normal
S01404,0,normal
S01405,0,normal
S01406,0,normal
S01407,1,hard
S01408,0,normal
S01409,0,normal
S01410,0,normal
S01411,0,normal
S01412,0,normal
S01413,0,decoy_highvalue
S01414,0,normal
S01415,0,normal
S01416,0,normal
S01417,0,normal
S01418,0,normal
S01419,0,normal
S01420,0,normal
S01421,0,normal
S01422,0,normal
S01423,0,normal
S01424,0,normal
S01425,0,normal
S01426,0,normal
S01427,0,normal
S01428,0,normal
S01429,0,normal
S01430,0,normal
S01431,0,normal
S01432,0,normal
S01433,0,normal
S01434,0,normal
S01435,0,normal
S01436,0,normal
S01437,0,normal
S01438,0,normal
S01439,0,normal
S01440,0,normal
S01441,0,normal
S01442,0,normal
S01443,0,normal
S01444,0,normal
S01445,0,normal
S01446,0,normal
S01447,0,normal
S01448,0,normal
S01449,0,normal
S01450,0,normal
S01451,0,normal
S01452,0,normal
S01453,0,normal
S01454,0,normal
S01455,0,normal
S01456,0,normal
S01457,0,decoy_business
S01458,0,normal
S01459,0,normal
S01460,0,normal
S01461,0,normal
S01462,0,normal
S01463,0,normal
S01464,0,normal
S01465,0,normal
S01466,0,normal
S01467,0,normal
S01468,0,normal
S01469,0,normal
S01470,0,decoy_seasonal
S01471,0,normal
S01472,0,normal
S01473,0,normal
S01474,0,normal
S01475,0,normal
S01476,0,normal
S01477,0,normal
S01478,0,normal
S01479,0,normal
S01480,0,normal
S01481,0,normal
S01482,0,normal
S01483,0,normal
S01484,0,normal
S01485,0,normal
S01486,0,normal
S01487,0,normal
S01488,0,normal
S01489,0,normal
S01490,0,normal
S01491,0,normal
S01492,0,normal
S01493,0,normal
S01494,0,normal
S01495,0,normal
S01496,0,normal
S01497,0,normal
S01498,0,normal
S01499,0,normal
S01500,0,normal
S01501,0,normal
S01502,0,normal
S01503,0,normal
S01504,0,normal
S01505,0,normal
S01506,0,normal
